index,filename,label1,score1,label2,score2,label3,score3,label4,score4,label5,score5
0,bw_img_test_depth_2_012.jpg,Land vehicle,0.9961627125740051,Vehicle,0.9903031587600708,Car,0.9531705975532532,Mud,0.9101136326789856,Off-roading,0.8845257759094238
1,lyons-flooding.jpg,Water,0.9578154683113098,Floodplain,0.9199719429016113,Flood,0.9010854959487915,Reflection,0.8739012479782104,Watercourse,0.8618021011352539
2,rot-3.7_img_test_depth_2_004.jpg,Vehicle,0.955994725227356,Pickup truck,0.9536613821983337,Car,0.9531705975532532,Automotive tire,0.9184738993644714,Commercial vehicle,0.898774266242981
3,bw_img_test_depth_2_004.jpg,Vehicle,0.9903031587600708,Mud,0.9358754754066467,Mud bogging,0.9341546893119812,Off-roading,0.9158467650413513,Car,0.9123747944831848
4,.DS_Store, , , , , , , , , , 
5,images.jpeg,Property,0.905249297618866,House,0.8852978348731995,Cottage,0.8578574061393738,Home,0.8384076356887817,Geological phenomenon,0.8274269104003906
6,image_209.jpg,Flood,0.9084757566452026,Rain,0.8584476113319397,Water,0.8073040843009949,Event,0.7105559706687927,Precipitation,0.6509885191917419
7,image_12.jpg,Water,0.9512578248977661,Water resources,0.9457682967185974,Waterway,0.9418644905090332,Bank,0.8995358347892761,Watercourse,0.8588863015174866
8,floodsalem.jpg,Water,0.9100271463394165,Flood,0.8572608232498169,Floodplain,0.7773672938346863,Land lot,0.7516925930976868,Rain,0.7506445646286011
9,ba461466-c15f-4d50-aca3-0834a7d67bb4-052020_FalmouthFlood_MV_0001.jpeg,Water,0.9706385731697083,Water resources,0.8873897790908813,Flood,0.8128608465194702,River,0.7427221536636353,Bank,0.6355140209197998
10,crop-0.83_img_test_depth_0_005.jpg,Land vehicle,0.9961627125740051,Vehicle,0.9903031587600708,Car,0.9870125651359558,Motor vehicle,0.9743772745132446,Pickup truck,0.9536613821983337
11,gettyimages-840306002-2048x2048.jpg,Water,0.9578154683113098,Rain,0.9035775065422058,Flood,0.8841729760169983,Water resources,0.807572603225708,Precipitation,0.782040536403656
12,img_test_depth_1_004.jpg,Waterway,0.9319056868553162,Vehicle,0.9255208969116211,Water,0.9100271463394165,Mode of transport,0.8588771224021912,Flood,0.8435502648353577
13,image_197.jpg,Water,0.9512578248977661,Flood,0.9047253727912903,Water resources,0.8795814514160156,Community,0.8349722623825073,Geological phenomenon,0.7950030565261841
14,image_127.jpg,Flood,0.9532464146614075,Water,0.9388793110847473,Water resources,0.9138745069503784,Waterway,0.7610637545585632,Adaptation,0.7408301830291748
15,image_76.jpg,Water,0.9100271463394165,Recreation,0.5942989587783813,Leisure,0.5618612170219421,Vacation,0.5459582805633545, , 
16,190315163544-03-weather-friday-wxc-exlarge-169.jpg,Water,0.9100271463394165,River,0.8960593342781067,Flood,0.8874109983444214,Bayou,0.8795826435089111,Tree,0.8787322044372559
17,hflip_img_test_depth_0_002.jpg,Land vehicle,0.9961627125740051,Vehicle,0.9903031587600708,Tire,0.9757517576217651,Automotive tire,0.9740241169929504,Car,0.9531705975532532
18,45924333.jpg,Water,0.9100271463394165,Flood,0.6734662055969238,Reflection,0.661736011505127,Event,0.6273695826530457,Geological phenomenon,0.6163091659545898
19,crop-0.83_img_test_depth_3_003.jpg,Land vehicle,0.9961627125740051,Vehicle,0.9903031587600708,Car,0.9870125651359558,Pickup truck,0.9291220307350159,Motor vehicle,0.9010037183761597
20,image_63.jpg,Water,0.9578154683113098,Water resources,0.8703998327255249,Flood,0.8356243371963501,Waterway,0.7819282412528992,Geological phenomenon,0.739093005657196
21,bw_img_test_depth_0_003.jpg,Land vehicle,0.9961627125740051,Vehicle,0.9903031587600708,Car,0.9870125651359558,Pickup truck,0.9759641289710999,Automotive tire,0.9641330242156982
22,hflip_img_test_depth_0_001.jpg,Land vehicle,0.9961627125740051,Vehicle,0.9903031587600708,Car,0.9870125651359558,Automotive tire,0.9048524498939514,Pickup truck,0.8810378313064575
23,hflip_img_test_depth_1_003.jpg,Vehicle,0.963193953037262,Pickup truck,0.9561890363693237,Car,0.9440270662307739,Off-roading,0.9019685983657837,Automotive tire,0.8508321642875671
24,image_72.jpg,Water,0.9684016108512878,Nature,0.9627566337585449,Water resources,0.937896728515625,Nature reserve,0.896547794342041,Waterway,0.8892984390258789
25,crop-0.84_img_test_depth_1_001.jpg,Water,0.9388793110847473,Vehicle,0.9222511649131775,Flood,0.8975436687469482,Car,0.8955718278884888,Rain,0.8793497681617737
26,image_56.jpg,Water resources,0.846031904220581,Water,0.8073040843009949,Water transportation,0.7621854543685913,Hut,0.7427905797958374,Adaptation,0.7408301830291748
27,image_3.jpg,Flood,0.9460477828979492,Rain,0.9436511993408203,Water,0.9388793110847473,Geological phenomenon,0.9060042500495911,Mode of transport,0.8394080996513367
28,rot-2.6_img_test_depth_4_001.jpg,Vehicle,0.9255208969116211,Car,0.8402158617973328,Snow,0.7401654720306396,Automotive exterior,0.7311965227127075,Racing,0.7026190161705017
29,web-bf-silver-creek-flooding-08142019-1jpg.jpeg,Geological phenomenon,0.9521164298057556,Mode of transport,0.8588771224021912,Land lot,0.845233142375946,Rural area,0.7885169386863708,Tree,0.7783679962158203
30,image_96.jpg,Water,0.9388793110847473,Waterway,0.8861828446388245,Flood,0.8717762231826782,Rain,0.8253148794174194,Neighbourhood,0.7756319046020508
31,image_55.jpg,Traffic,0.9477324485778809,Vehicle,0.9469120502471924,Car,0.9098899960517883,Parking,0.8738997578620911,Mode of transport,0.8725296258926392
